pid,group,matrix_name,together,opposed,pull
179,Human,FAVvsMJP,0,9,9
179,Human,MDvsMIP/MJP,0,0,0
179,Human,FAVvsP,0,0,0
180,Human,FAVvsMJP,0,12,12
180,Human,MDvsMIP/MJP,0,6,6
180,Human,FAVvsP,0,12,12
181,Human,FAVvsMJP,6,6,0
181,Human,MDvsMIP/MJP,4.5,0,-4.5
181,Human,FAVvsP,0,1.5,1.5
182,Human,FAVvsMJP,9.5,8.5,-1
182,Human,MDvsMIP/MJP,6.5,10,3.5
182,Human,FAVvsP,10.5,7,-3.5
183,Human,FAVvsMJP,4.5,7,2.5
183,Human,MDvsMIP/MJP,1.5,4.5,3
183,Human,FAVvsP,4.5,5.5,1
184,Human,FAVvsMJP,3,6,3
184,Human,MDvsMIP/MJP,3.5,5,1.5
184,Human,FAVvsP,11,4,-7
185,Human,FAVvsMJP,0,12,12
185,Human,MDvsMIP/MJP,0,3,3
185,Human,FAVvsP,6.5,3,-3.5
186,Human,FAVvsMJP,6,6,0
186,Human,MDvsMIP/MJP,0,0,0
186,Human,FAVvsP,0,0,0
187,Human,FAVvsMJP,7,7.5,0.5
187,Human,MDvsMIP/MJP,6.5,5.5,-1
187,Human,FAVvsP,8,7.5,-0.5
188,Human,FAVvsMJP,4,3,-1
188,Human,MDvsMIP/MJP,5,8.5,3.5
188,Human,FAVvsP,1.5,9.5,8
189,Human,FAVvsMJP,7,8.5,1.5
189,Human,MDvsMIP/MJP,5.5,7,1.5
189,Human,FAVvsP,7.5,6,-1.5
190,Human,FAVvsMJP,4,7.5,3.5
190,Human,MDvsMIP/MJP,4,7,3
190,Human,FAVvsP,3,4,1
191,Human,FAVvsMJP,0,9,9
191,Human,MDvsMIP/MJP,0,0,0
191,Human,FAVvsP,0,6,6
192,Human,FAVvsMJP,6,6,0
192,Human,MDvsMIP/MJP,0,4.5,4.5
192,Human,FAVvsP,0,6,6
193,Human,FAVvsMJP,5.5,6.5,1
193,Human,MDvsMIP/MJP,6,5,-1
193,Human,FAVvsP,0,0.5,0.5
194,Human,FAVvsMJP,9,2.5,-6.5
194,Human,MDvsMIP/MJP,9,8.5,-0.5
194,Human,FAVvsP,5,0,-5
195,Human,FAVvsMJP,5.5,5.5,0
195,Human,MDvsMIP/MJP,6,9,3
195,Human,FAVvsP,0,1.5,1.5
196,Human,FAVvsMJP,2,9,7
196,Human,MDvsMIP/MJP,0,0,0
196,Human,FAVvsP,0,7.5,7.5
197,Human,FAVvsMJP,3,6.5,3.5
197,Human,MDvsMIP/MJP,2,0,-2
197,Human,FAVvsP,0,2,2
